sid,score_year,score_band
28735,2013,concert
28736,2013,concert
28738,2013,concert
28739,2013,concert
28741,2013,concert
28757,2013,concert
28764,2013,concert
28766,2013,concert
28767,2013,concert
28770,2013,concert
28772,2013,concert
28773,2013,concert
28781,2013,concert
28807,2013,concert
28808,2013,concert
28889,2013,concert
28894,2013,concert
28896,2013,concert
28908,2013,concert
28940,2013,concert
28951,2013,concert
28952,2013,concert
28954,2013,concert
28982,2013,concert
28988,2013,concert
28990,2013,concert
28991,2013,concert
28992,2013,concert
28994,2013,concert
28995,2013,concert
29014,2013,concert
29019,2013,concert
29053,2013,concert
29054,2013,concert
29055,2013,concert
29063,2013,concert
29064,2013,concert
29067,2013,concert
29069,2013,concert
29077,2013,concert
29088,2013,concert
29094,2013,concert
29098,2013,concert
29099,2013,concert
29100,2013,concert
29108,2013,concert
29114,2013,concert
29123,2013,concert
29125,2013,concert
29132,2013,concert
29139,2013,concert
29142,2013,concert
29144,2013,concert
29157,2013,concert
29160,2013,concert
29174,2013,concert
29175,2013,concert
29176,2013,concert
29177,2013,concert
29192,2013,concert
29214,2013,concert
29220,2013,concert
29224,2013,concert
29225,2013,concert
29226,2013,concert
29227,2013,concert
29254,2013,concert
29269,2013,concert
29274,2013,concert
29278,2013,concert
29287,2013,concert
29289,2013,concert
29290,2013,concert
29293,2013,concert
29298,2013,concert
29301,2013,concert
29355,2013,concert
29356,2013,concert
29357,2013,concert
29358,2013,concert
29359,2013,concert
29362,2013,concert
29363,2013,concert
29364,2013,concert
29386,2013,concert
29391,2013,concert
29392,2013,concert
29393,2013,concert
29394,2013,concert
29399,2013,concert
29400,2013,concert
29404,2013,concert
29405,2013,concert
29418,2013,concert
29425,2013,concert
29477,2013,concert
29478,2013,concert
29479,2013,concert
29480,2013,concert
29483,2013,concert
29484,2013,concert
29486,2013,concert
29497,2013,concert
29498,2013,concert
29503,2013,concert
29505,2013,concert
29506,2013,concert
29508,2013,concert
29512,2013,concert
29515,2013,concert
29516,2013,concert
29518,2013,concert
29522,2013,concert
29523,2013,concert
29526,2013,concert
29527,2013,concert
29529,2013,concert
29530,2013,concert
29531,2013,concert
29532,2013,concert
29533,2013,concert
29536,2013,concert
29537,2013,concert
29538,2013,concert
29540,2013,concert
29541,2013,concert
29542,2013,concert
29544,2013,concert
29546,2013,concert
29547,2013,concert
29549,2013,concert
29551,2013,concert
29552,2013,concert
29555,2013,concert
29557,2013,concert
29558,2013,concert
29559,2013,concert
29560,2013,concert
29561,2013,concert
29563,2013,concert
29570,2013,concert
29571,2013,concert
29582,2013,concert
29589,2013,concert
29590,2013,concert
29592,2013,concert
29611,2013,concert
29613,2013,concert
29615,2013,concert
29644,2013,concert
29657,2013,concert
29663,2013,concert
29665,2013,concert
29666,2013,concert
29676,2013,concert
29683,2013,concert
29690,2013,concert
29691,2013,concert
29692,2013,concert
29697,2013,concert
29698,2013,concert
29701,2013,concert
29702,2013,concert
29708,2013,concert
29711,2013,concert
29715,2013,concert
29729,2013,concert
29735,2013,concert
29738,2013,concert
29740,2013,concert
29741,2013,concert
29743,2013,concert
29748,2013,concert
29754,2013,concert
29772,2013,concert
29777,2013,concert
29778,2013,concert
29783,2013,concert
29784,2013,concert
29790,2013,concert
29793,2013,concert
29795,2013,concert
29804,2013,concert
29810,2013,concert
29811,2013,concert
29815,2013,concert
29816,2013,concert
29821,2013,concert
29840,2013,concert
29841,2013,concert
29858,2013,concert
29875,2013,concert
29877,2013,concert
29883,2013,concert
29884,2013,concert
29885,2013,concert
29886,2013,concert
29910,2013,concert
29923,2013,concert
29947,2013,concert
29948,2013,concert
29949,2013,concert
29950,2013,concert
29951,2013,concert
29955,2013,concert
29958,2013,concert
29959,2013,concert
29965,2013,concert
29970,2013,concert
29984,2013,concert
29985,2013,concert
29989,2013,concert
30001,2013,concert
30002,2013,concert
30003,2013,concert
30004,2013,concert
30006,2013,concert
30007,2013,concert
30008,2013,concert
30009,2013,concert
30023,2013,concert
30035,2013,concert
30037,2013,concert
30047,2013,concert
30049,2013,concert
30052,2013,concert
30057,2013,concert
30058,2013,concert
30062,2013,concert
30063,2013,concert
30074,2013,concert
30077,2013,concert
30083,2013,concert
30085,2013,concert
30088,2013,concert
30090,2013,concert
30091,2013,concert
30094,2013,concert
30097,2013,concert
30098,2013,concert
30125,2013,concert
30128,2013,concert
30132,2013,concert
30145,2013,concert
30146,2013,concert
30150,2013,concert
30151,2013,concert
30152,2013,concert
