sid,score_year,score_band,audio_file,audio_year,audio_band,segmentation_year,segmentation_band
87667,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87667.mp3,2018.0,concert,,
87669,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87669.mp3,2018.0,middle,,
87670,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87670.mp3,2018.0,middle,,
87673,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87673.mp3,2018.0,middle,,
87675,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87675.mp3,2018.0,middle,,
87689,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87689.mp3,2018.0,symphonic,,
87691,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87691.mp3,2018.0,middle,,
87692,2018.0,middle,/media/fba/./fba-canonical/audio/2018-2019/middleschool/87692.mp3,2018.0,middle,,
87694,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87694.mp3,2018.0,symphonic,,
87695,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87695.mp3,2018.0,symphonic,2018.0,symphonic
87697,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87697.mp3,2018.0,concert,,
87700,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87700.mp3,2018.0,concert,,
87701,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87701.mp3,2018.0,concert,,
87702,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87702.mp3,2018.0,symphonic,,
87703,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87703.mp3,2018.0,symphonic,,
87704,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87704.mp3,2018.0,symphonic,,
87706,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87706.mp3,2018.0,symphonic,,
87707,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87707.mp3,2018.0,symphonic,,
87708,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87708.mp3,2018.0,symphonic,,
87709,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87709.mp3,2018.0,symphonic,,
87711,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87711.mp3,2018.0,concert,,
87712,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87712.mp3,2018.0,symphonic,,
87713,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87713.mp3,2018.0,symphonic,,
87714,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87714.mp3,2018.0,symphonic,,
87718,2018.0,concert,/media/fba/./fba-canonical/audio/2018-2019/concertband/87718.mp3,2018.0,concert,2018.0,concert
87719,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87719.mp3,2018.0,symphonic,2018.0,symphonic
87720,2018.0,symphonic,/media/fba/./fba-canonical/audio/2018-2019/symphonicband/87720.mp3,2018.0,symphonic,,
